B1 h	NA
Dusp1	GO:0008138~protein tyrosine/serine/threonine phosphatase activity
Dusp1	GO:0016791~phosphatase activity
Dusp1	GO:0004721~phosphoprotein phosphatase activity
B1,4 h	NA
Snhg12,Snora16a,Snora44,Snora61,Snord99	NA
Zfp771	GO:0046914~transition metal ion binding
Zfp771	GO:0043167~ion binding
Zfp771	GO:0043169~cation binding
Zfp771	GO:0046872~metal ion binding
Zfp771	GO:0003677~DNA binding
Zfp771	GO:0008270~zinc ion binding
B1,6 h	NA
Gm5526	NA
Ccdc167	NA
Pgap2	GO:0008565~protein transporter activity
Ppp1r14a	GO:0004864~phosphoprotein phosphatase inhibitor activity
Ppp1r14a	GO:0019212~phosphatase inhibitor activity
Ppp1r14a	GO:0004857~enzyme inhibitor activity
Ppp1r14a	GO:0019888~protein phosphatase regulator activity
Ppp1r14a	GO:0019208~phosphatase regulator activity
B2,4 h	NA
Ttr	GO:0042562~hormone binding
Ttr	GO:0015349~thyroid hormone transmembrane transporter activity
Ttr	GO:0005179~hormone activity
Gm20715,Olfr1344,Smim17,Zfp28	NA
Ctps2	GO:0016879~ligase activity, forming carbon-nitrogen bonds
Ctps2	GO:0001883~purine nucleoside binding
Ctps2	GO:0032555~purine ribonucleotide binding
Ctps2	GO:0003883~CTP synthase activity
Ctps2	GO:0000166~nucleotide binding
Ctps2	GO:0005524~ATP binding
Ctps2	GO:0032553~ribonucleotide binding
Ctps2	GO:0030554~adenyl nucleotide binding
Ctps2	GO:0001882~nucleoside binding
Ctps2	GO:0032559~adenyl ribonucleotide binding
Ctps2	GO:0017076~purine nucleotide binding
Tbc1d17	GO:0005097~Rab GTPase activator activity
Tbc1d17	GO:0030695~GTPase regulator activity
Tbc1d17	GO:0005083~small GTPase regulator activity
Tbc1d17	GO:0008047~enzyme activator activity
Tbc1d17	GO:0060589~nucleoside-triphosphatase regulator activity
Tbc1d17	GO:0005096~GTPase activator activity
Tbc1d17	GO:0005099~Ras GTPase activator activity
Akt1s1	NA
Cotl1	GO:0003779~actin binding
Cotl1	GO:0019899~enzyme binding
Cotl1	GO:0008092~cytoskeletal protein binding
Cap1	GO:0003779~actin binding
Cap1	GO:0008092~cytoskeletal protein binding
Enpp2	GO:0043169~cation binding
Enpp2	GO:0046872~metal ion binding
Enpp2	GO:0004518~nuclease activity
Enpp2	GO:0004528~phosphodiesterase I activity
Enpp2	GO:0004551~nucleotide diphosphatase activity
Enpp2	GO:0005044~scavenger receptor activity
Enpp2	GO:0004527~exonuclease activity
Enpp2	GO:0030247~polysaccharide binding
Enpp2	GO:0043167~ion binding
Enpp2	GO:0001871~pattern binding
Enpp2	GO:0030246~carbohydrate binding
Enpp2	GO:0008081~phosphoric diester hydrolase activity
Enpp2	GO:0047391~alkylglycerophosphoethanolamine phosphodiesterase activity
B2,6 h	NA
Malat1	NA
Cacnb4	GO:0005261~cation channel activity
Cacnb4	GO:0015267~channel activity
Cacnb4	GO:0005509~calcium ion binding
Cacnb4	GO:0005245~voltage-gated calcium channel activity
Cacnb4	GO:0022803~passive transmembrane transporter activity
Cacnb4	GO:0022843~voltage-gated cation channel activity
Cacnb4	GO:0022838~substrate specific channel activity
Cacnb4	GO:0046873~metal ion transmembrane transporter activity
Cacnb4	GO:0046872~metal ion binding
Cacnb4	GO:0022836~gated channel activity
Cacnb4	GO:0043169~cation binding
Cacnb4	GO:0022832~voltage-gated channel activity
Cacnb4	GO:0008331~high voltage-gated calcium channel activity
Cacnb4	GO:0005244~voltage-gated ion channel activity
Cacnb4	GO:0043167~ion binding
Cacnb4	GO:0005216~ion channel activity
Cacnb4	GO:0005262~calcium channel activity
Gm10182	GO:0003677~DNA binding
B4,6 h	NA
Urod	GO:0004853~uroporphyrinogen decarboxylase activity
Urod	GO:0016831~carboxy-lyase activity
Tpd52l2	NA
Bola3	NA
2410006H16Rik	NA
2610015P09Rik	NA
Npy	GO:0005179~hormone activity
Brd2	NA
Hbb-bs	NA
RP23-8J15.5	NA
Hba-a2	GO:0046906~tetrapyrrole binding
Hba-a2	GO:0020037~heme binding
Hba-a2	GO:0005506~iron ion binding
Hba-a2	GO:0046872~metal ion binding
Hba-a2	GO:0043167~ion binding
Hba-a2	GO:0043169~cation binding
Hba-a2	GO:0019825~oxygen binding
Hba-a2	GO:0046914~transition metal ion binding
Hba-a2	GO:0005344~oxygen transporter activity
B1,2,4 h	NA
Gm14325	GO:0046914~transition metal ion binding
Gm14325	GO:0043167~ion binding
Gm14325	GO:0043169~cation binding
Gm14325	GO:0008270~zinc ion binding
Gm14325	GO:0046872~metal ion binding
Xbp1	GO:0046983~protein dimerization activity
Xbp1	GO:0030528~transcription regulator activity
Xbp1	GO:0003677~DNA binding
Xbp1	GO:0043565~sequence-specific DNA binding
Xbp1	GO:0003700~transcription factor activity
Dpf2	GO:0046914~transition metal ion binding
Dpf2	GO:0046872~metal ion binding
Dpf2	GO:0043167~ion binding
Dpf2	GO:0008270~zinc ion binding
Dpf2	GO:0043169~cation binding
Fscn1	GO:0051015~actin filament binding
Fscn1	GO:0030674~protein binding, bridging
Fscn1	GO:0008092~cytoskeletal protein binding
Fscn1	GO:0003779~actin binding
Msantd3	NA
Pex10	GO:0046872~metal ion binding
Pex10	GO:0046914~transition metal ion binding
Pex10	GO:0043169~cation binding
Pex10	GO:0043167~ion binding
Pex10	GO:0008270~zinc ion binding
B1,2,6 h	NA
Ccdc167	NA
B1,4,6 h	NA
Rps27	GO:0043169~cation binding
Rps27	GO:0008270~zinc ion binding
Rps27	GO:0003735~structural constituent of ribosome
Rps27	GO:0005198~structural molecule activity
Rps27	GO:0046872~metal ion binding
Rps27	GO:0046914~transition metal ion binding
Rps27	GO:0043167~ion binding
Ndufs5	NA
Atp5e	GO:0042623~ATPase activity, coupled
Atp5e	GO:0046933~hydrogen ion transporting ATP synthase activity, rotational mechanism
Atp5e	GO:0015078~hydrogen ion transmembrane transporter activity
Atp5e	GO:0019829~cation-transporting ATPase activity
Atp5e	GO:0015077~monovalent inorganic cation transmembrane transporter activity
Atp5e	GO:0042625~ATPase activity, coupled to transmembrane movement of ions
Atp5e	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism
Atp5e	GO:0022890~inorganic cation transmembrane transporter activity
Atp5e	GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
Atp5e	GO:0043492~ATPase activity, coupled to movement of substances
Atp5e	GO:0015399~primary active transmembrane transporter activity
Atp5e	GO:0046961~proton-transporting ATPase activity, rotational mechanism
Atp5e	GO:0042626~ATPase activity, coupled to transmembrane movement of substances
Atp5e	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity
Atp5e	GO:0016887~ATPase activity
Atp5e	GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
Fam109b,Smdt1	NA
Rps27rt	NA
Kbtbd11	NA
Cbx5	GO:0003682~chromatin binding
Cbx5	GO:0030528~transcription regulator activity
Cbx5	GO:0070491~transcription repressor binding
Cbx5	GO:0030674~protein binding, bridging
Cbx5	GO:0016564~transcription repressor activity
Bola2	NA
Ccdc107	NA
1810043H04Rik	NA
Polr2i	GO:0003899~DNA-directed RNA polymerase activity
Polr2i	GO:0043169~cation binding
Polr2i	GO:0043167~ion binding
Polr2i	GO:0030528~transcription regulator activity
Polr2i	GO:0003677~DNA binding
Polr2i	GO:0016779~nucleotidyltransferase activity
Polr2i	GO:0034062~RNA polymerase activity
Polr2i	GO:0046914~transition metal ion binding
Polr2i	GO:0004672~protein kinase activity
Polr2i	GO:0008270~zinc ion binding
Polr2i	GO:0046872~metal ion binding
Gm5526	NA
1110001J03Rik	NA
Mrpl34	GO:0003735~structural constituent of ribosome
Mrpl34	GO:0005198~structural molecule activity
Rpp21	GO:0016891~endoribonuclease activity, producing 5'-phosphomonoesters
Rpp21	GO:0004521~endoribonuclease activity
Rpp21	GO:0004540~ribonuclease activity
Rpp21	GO:0004549~tRNA-specific ribonuclease activity
Rpp21	GO:0004526~ribonuclease P activity
Rpp21	GO:0004519~endonuclease activity
Rpp21	GO:0004518~nuclease activity
Rpp21	GO:0016893~endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
Emc9	NA
Sel1l	NA
1110038F14Rik	NA
Capns1	GO:0004175~endopeptidase activity
Capns1	GO:0004197~cysteine-type endopeptidase activity
Capns1	GO:0008234~cysteine-type peptidase activity
Capns1	GO:0043167~ion binding
Capns1	GO:0070011~peptidase activity, acting on L-amino acid peptides
Capns1	GO:0008233~peptidase activity
Capns1	GO:0046872~metal ion binding
Capns1	GO:0004198~calcium-dependent cysteine-type endopeptidase activity
Capns1	GO:0043169~cation binding
Capns1	GO:0005509~calcium ion binding
Orc2	NA
Ndufaf6	NA
Wdr75	NA
Coa7	NA
Rrm2b	GO:0005506~iron ion binding
Rrm2b	GO:0016725~oxidoreductase activity, acting on CH or CH2 groups
Rrm2b	GO:0046872~metal ion binding
Rrm2b	GO:0004748~ribonucleoside-diphosphate reductase activity
Rrm2b	GO:0043169~cation binding
Rrm2b	GO:0016728~oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor
Rrm2b	GO:0046914~transition metal ion binding
Rrm2b	GO:0043167~ion binding
Fam183b	NA
Eea1	GO:0035091~phosphoinositide binding
Eea1	GO:0005543~phospholipid binding
Eea1	GO:0008289~lipid binding
Eea1	GO:0043167~ion binding
Eea1	GO:0046914~transition metal ion binding
Eea1	GO:0043169~cation binding
Eea1	GO:0046872~metal ion binding
Eea1	GO:0008270~zinc ion binding
Eea1	GO:0005545~phosphatidylinositol binding
Ankrd35	NA
Prrt1	GO:0050785~advanced glycation end-product receptor activity
1700020I14Rik	NA
Hist1h1e	GO:0003677~DNA binding
Tanc1	NA
Nr2f1	GO:0004879~ligand-dependent nuclear receptor activity
Nr2f1	GO:0016563~transcription activator activity
Nr2f1	GO:0043167~ion binding
Nr2f1	GO:0043565~sequence-specific DNA binding
Nr2f1	GO:0046914~transition metal ion binding
Nr2f1	GO:0008270~zinc ion binding
Nr2f1	GO:0003700~transcription factor activity
Nr2f1	GO:0003707~steroid hormone receptor activity
Nr2f1	GO:0046872~metal ion binding
Nr2f1	GO:0030528~transcription regulator activity
Nr2f1	GO:0043169~cation binding
Nr2f1	GO:0003677~DNA binding
Ccdc136	NA
Chmp4b	NA
Eid2	GO:0046332~SMAD binding
Hnrnpd	GO:0003677~DNA binding
Hnrnpd	GO:0043565~sequence-specific DNA binding
Hnrnpd	GO:0003723~RNA binding
Hnrnpd	GO:0042162~telomeric DNA binding
Hnrnpd	GO:0000166~nucleotide binding
Gm14004	NA
Fbll1	GO:0003723~RNA binding
Fxyd2	GO:0031420~alkali metal ion binding
Fxyd2	GO:0043167~ion binding
Fxyd2	GO:0031402~sodium ion binding
Fxyd2	GO:0030955~potassium ion binding
Fxyd2	GO:0015267~channel activity
Fxyd2	GO:0005216~ion channel activity
Fxyd2	GO:0043169~cation binding
Fxyd2	GO:0046872~metal ion binding
Fxyd2	GO:0022838~substrate specific channel activity
Fxyd2	GO:0022803~passive transmembrane transporter activity
Gjb6	NA
Gm11273	GO:0015077~monovalent inorganic cation transmembrane transporter activity
Gm11273	GO:0008270~zinc ion binding
Gm11273	GO:0015002~heme-copper terminal oxidase activity
Gm11273	GO:0043167~ion binding
Gm11273	GO:0016676~oxidoreductase activity, acting on heme group of donors, oxygen as acceptor
Gm11273	GO:0046872~metal ion binding
Gm11273	GO:0046914~transition metal ion binding
Gm11273	GO:0043169~cation binding
Gm11273	GO:0016675~oxidoreductase activity, acting on heme group of donors
Gm11273	GO:0004129~cytochrome-c oxidase activity
Gm11273	GO:0015078~hydrogen ion transmembrane transporter activity
Gm11273	GO:0022890~inorganic cation transmembrane transporter activity
Rtn2	NA
B4galnt4	GO:0008376~acetylgalactosaminyltransferase activity
B4galnt4	GO:0033842~N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Slc26a4	GO:0008271~secondary active sulfate transmembrane transporter activity
Slc26a4	GO:0008509~anion transmembrane transporter activity
Slc26a4	GO:0043167~ion binding
Slc26a4	GO:0043168~anion binding
Slc26a4	GO:0031404~chloride ion binding
Slc26a4	GO:0015116~sulfate transmembrane transporter activity
Slc26a4	GO:0015103~inorganic anion transmembrane transporter activity
Mepce	NA
Gprin1	GO:0051219~phosphoprotein binding
Dact3	NA
B2,4,6 h	NA
Actb	GO:0017076~purine nucleotide binding
Actb	GO:0001882~nucleoside binding
Actb	GO:0032559~adenyl ribonucleotide binding
Actb	GO:0000166~nucleotide binding
Actb	GO:0001883~purine nucleoside binding
Actb	GO:0032555~purine ribonucleotide binding
Actb	GO:0032553~ribonucleotide binding
Actb	GO:0030554~adenyl nucleotide binding
Actb	GO:0005524~ATP binding
Gapdh	GO:0048037~cofactor binding
Gapdh	GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
Gapdh	GO:0004365~glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity
Gapdh	GO:0000166~nucleotide binding
Gapdh	GO:0008943~glyceraldehyde-3-phosphate dehydrogenase activity
Gapdh	GO:0050662~coenzyme binding
Gapdh	GO:0051287~NAD or NADH binding
Atp5g2	GO:0022890~inorganic cation transmembrane transporter activity
Atp5g2	GO:0015078~hydrogen ion transmembrane transporter activity
Atp5g2	GO:0008289~lipid binding
Atp5g2	GO:0015077~monovalent inorganic cation transmembrane transporter activity
Cmss1	NA
Psap	NA
Tubb4b	NA
Uqcrc2	GO:0004222~metalloendopeptidase activity
Uqcrc2	GO:0043169~cation binding
Uqcrc2	GO:0043167~ion binding
Uqcrc2	GO:0046914~transition metal ion binding
Uqcrc2	GO:0008233~peptidase activity
Uqcrc2	GO:0004175~endopeptidase activity
Uqcrc2	GO:0008270~zinc ion binding
Uqcrc2	GO:0070011~peptidase activity, acting on L-amino acid peptides
Uqcrc2	GO:0008237~metallopeptidase activity
Uqcrc2	GO:0046872~metal ion binding
Mapt	GO:0008092~cytoskeletal protein binding
Mapt	GO:0008017~microtubule binding
Mapt	GO:0015631~tubulin binding
Prdx1	GO:0016209~antioxidant activity
Prdx1	GO:0051920~peroxiredoxin activity
Prdx1	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor
Prdx1	GO:0004601~peroxidase activity
Mcts1	GO:0003723~RNA binding
Tcp1	GO:0051082~unfolded protein binding
Tcp1	GO:0032559~adenyl ribonucleotide binding
Tcp1	GO:0005524~ATP binding
Tcp1	GO:0032555~purine ribonucleotide binding
Tcp1	GO:0030554~adenyl nucleotide binding
Tcp1	GO:0001882~nucleoside binding
Tcp1	GO:0017076~purine nucleotide binding
Tcp1	GO:0000166~nucleotide binding
Tcp1	GO:0001883~purine nucleoside binding
Tcp1	GO:0032553~ribonucleotide binding
Oxct1	GO:0008260~3-oxoacid CoA-transferase activity
Oxct1	GO:0008410~CoA-transferase activity
Oxct1	GO:0016782~transferase activity, transferring sulfur-containing groups
Taf10	GO:0003677~DNA binding
Taf10	GO:0030528~transcription regulator activity
Taf10	GO:0003702~RNA polymerase II transcription factor activity
Ptgds	GO:0016860~intramolecular oxidoreductase activity
Ptgds	GO:0005501~retinoid binding
Ptgds	GO:0008289~lipid binding
Ptgds	GO:0019840~isoprenoid binding
Ptgds	GO:0004667~prostaglandin-D synthase activity
RP23-8J15.1	NA
Snhg11	NA
Atp6ap2	NA
Atp6v1h	GO:0019829~cation-transporting ATPase activity
Atp6v1h	GO:0015077~monovalent inorganic cation transmembrane transporter activity
Atp6v1h	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity
Atp6v1h	GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
Atp6v1h	GO:0015078~hydrogen ion transmembrane transporter activity
Atp6v1h	GO:0016887~ATPase activity
Atp6v1h	GO:0022890~inorganic cation transmembrane transporter activity
Atp6v1h	GO:0042626~ATPase activity, coupled to transmembrane movement of substances
Atp6v1h	GO:0046961~proton-transporting ATPase activity, rotational mechanism
Atp6v1h	GO:0043492~ATPase activity, coupled to movement of substances
Atp6v1h	GO:0042625~ATPase activity, coupled to transmembrane movement of ions
Atp6v1h	GO:0015399~primary active transmembrane transporter activity
Atp6v1h	GO:0042623~ATPase activity, coupled
Ptges3	GO:0050220~prostaglandin-E synthase activity
Ptges3	GO:0051082~unfolded protein binding
Ptges3	GO:0016860~intramolecular oxidoreductase activity
Rcc1	GO:0005085~guanyl-nucleotide exchange factor activity
Rcc1	GO:0005083~small GTPase regulator activity
Rcc1	GO:0005087~Ran guanyl-nucleotide exchange factor activity
Rcc1	GO:0060589~nucleoside-triphosphatase regulator activity
Rcc1	GO:0030695~GTPase regulator activity
Rcc1	GO:0005088~Ras guanyl-nucleotide exchange factor activity
Srsf2	NA
Fh1	GO:0016836~hydro-lyase activity
Fh1	GO:0004333~fumarate hydratase activity
RP23-8J15.3	NA
Nceh1	GO:0004091~carboxylesterase activity
Nceh1	GO:0017171~serine hydrolase activity
Nceh1	GO:0043167~ion binding
Nceh1	GO:0043168~anion binding
Nceh1	GO:0042301~phosphate binding
Eif3e	GO:0008135~translation factor activity, nucleic acid binding
Eif3e	GO:0003743~translation initiation factor activity
Gm17275	NA
Tmem242	NA
Rgs2	GO:0030695~GTPase regulator activity
Rgs2	GO:0005096~GTPase activator activity
Rgs2	GO:0008047~enzyme activator activity
Rgs2	GO:0060589~nucleoside-triphosphatase regulator activity
RP23-8J15.4	NA
Lasp1	GO:0008092~cytoskeletal protein binding
Lasp1	GO:0046914~transition metal ion binding
Lasp1	GO:0008270~zinc ion binding
Lasp1	GO:0046872~metal ion binding
Lasp1	GO:0051015~actin filament binding
Lasp1	GO:0003779~actin binding
Lasp1	GO:0043169~cation binding
Lasp1	GO:0043167~ion binding
Cops3	NA
Dld	GO:0016667~oxidoreductase activity, acting on sulfur group of donors
Dld	GO:0016651~oxidoreductase activity, acting on NADH or NADPH
Dld	GO:0017076~purine nucleotide binding
Dld	GO:0001883~purine nucleoside binding
Dld	GO:0000166~nucleotide binding
Dld	GO:0050662~coenzyme binding
Dld	GO:0048037~cofactor binding
Dld	GO:0001882~nucleoside binding
Dld	GO:0004148~dihydrolipoyl dehydrogenase activity
Dld	GO:0030554~adenyl nucleotide binding
Dld	GO:0016668~oxidoreductase activity, acting on sulfur group of donors, NAD or NADP as acceptor
Dld	GO:0050660~FAD binding
Dld	GO:0009055~electron carrier activity
Rpl36a-ps1	NA
RP23-8J15.2	NA
Dapk3	GO:0032559~adenyl ribonucleotide binding
Dapk3	GO:0032553~ribonucleotide binding
Dapk3	GO:0000166~nucleotide binding
Dapk3	GO:0005524~ATP binding
Dapk3	GO:0004674~protein serine/threonine kinase activity
Dapk3	GO:0001882~nucleoside binding
Dapk3	GO:0032555~purine ribonucleotide binding
Dapk3	GO:0001883~purine nucleoside binding
Dapk3	GO:0004672~protein kinase activity
Dapk3	GO:0017076~purine nucleotide binding
Dapk3	GO:0030554~adenyl nucleotide binding
Syt4	GO:0043169~cation binding
Syt4	GO:0043167~ion binding
Syt4	GO:0005509~calcium ion binding
Syt4	GO:0046872~metal ion binding
Yipf4	NA
Mat2a	GO:0030554~adenyl nucleotide binding
Mat2a	GO:0046914~transition metal ion binding
Mat2a	GO:0046872~metal ion binding
Mat2a	GO:0043167~ion binding
Mat2a	GO:0032553~ribonucleotide binding
Mat2a	GO:0030955~potassium ion binding
Mat2a	GO:0031420~alkali metal ion binding
Mat2a	GO:0032559~adenyl ribonucleotide binding
Mat2a	GO:0001883~purine nucleoside binding
Mat2a	GO:0000287~magnesium ion binding
Mat2a	GO:0032555~purine ribonucleotide binding
Mat2a	GO:0043169~cation binding
Mat2a	GO:0001882~nucleoside binding
Mat2a	GO:0005524~ATP binding
Mat2a	GO:0050897~cobalt ion binding
Mat2a	GO:0000166~nucleotide binding
Mat2a	GO:0017076~purine nucleotide binding
Mat2a	GO:0004478~methionine adenosyltransferase activity
Mat2a	GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups
1110059G10Rik	NA
Plp1	GO:0005198~structural molecule activity
Plp1	GO:0019911~structural constituent of myelin sheath
Btg3	NA
Cdr1	NA
Eif2s3y	GO:0032553~ribonucleotide binding
Eif2s3y	GO:0017076~purine nucleotide binding
Eif2s3y	GO:0019001~guanyl nucleotide binding
Eif2s3y	GO:0032555~purine ribonucleotide binding
Eif2s3y	GO:0005525~GTP binding
Eif2s3y	GO:0000166~nucleotide binding
Eif2s3y	GO:0003924~GTPase activity
Eif2s3y	GO:0032561~guanyl ribonucleotide binding
Eif2s3y	GO:0003743~translation initiation factor activity
Eif2s3y	GO:0008135~translation factor activity, nucleic acid binding
Gabrb2	GO:0005216~ion channel activity
Gabrb2	GO:0030594~neurotransmitter receptor activity
Gabrb2	GO:0043167~ion binding
Gabrb2	GO:0022838~substrate specific channel activity
Gabrb2	GO:0022834~ligand-gated channel activity
Gabrb2	GO:0015276~ligand-gated ion channel activity
Gabrb2	GO:0008509~anion transmembrane transporter activity
Gabrb2	GO:0022836~gated channel activity
Gabrb2	GO:0005253~anion channel activity
Gabrb2	GO:0004890~GABA-A receptor activity
Gabrb2	GO:0043168~anion binding
Gabrb2	GO:0042165~neurotransmitter binding
Gabrb2	GO:0005254~chloride channel activity
Gabrb2	GO:0022803~passive transmembrane transporter activity
Gabrb2	GO:0015267~channel activity
Gabrb2	GO:0016917~GABA receptor activity
Gabrb2	GO:0005230~extracellular ligand-gated ion channel activity
Gabrb2	GO:0031404~chloride ion binding
Kctd12	GO:0005267~potassium channel activity
Kctd12	GO:0022803~passive transmembrane transporter activity
Kctd12	GO:0022843~voltage-gated cation channel activity
Kctd12	GO:0005261~cation channel activity
Kctd12	GO:0005249~voltage-gated potassium channel activity
Kctd12	GO:0005216~ion channel activity
Kctd12	GO:0005244~voltage-gated ion channel activity
Kctd12	GO:0022836~gated channel activity
Kctd12	GO:0022832~voltage-gated channel activity
Kctd12	GO:0022838~substrate specific channel activity
Kctd12	GO:0046873~metal ion transmembrane transporter activity
Kctd12	GO:0015267~channel activity
Sptbn1	NA
Cstf3	NA
Hsd17b12	GO:0030247~polysaccharide binding
Hsd17b12	GO:0001968~fibronectin binding
Hsd17b12	GO:0033764~steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
Hsd17b12	GO:0016229~steroid dehydrogenase activity
Hsd17b12	GO:0005539~glycosaminoglycan binding
Hsd17b12	GO:0005518~collagen binding
Hsd17b12	GO:0004303~estradiol 17-beta-dehydrogenase activity
Hsd17b12	GO:0001871~pattern binding
Hsd17b12	GO:0008201~heparin binding
Hsd17b12	GO:0030246~carbohydrate binding
Ndrg2	NA
Spry2	NA
